x-axis,SCL1,3
second,Volt,Volt
+2.0860000E-03,+391.9598162E-03,+190.9547932E-03
+2.0862500E-03,+391.9598159E-03,+4.5326632895E+00
+2.0865000E-03,+361.8090625E-03,+4.5728642941E+00
+2.0867500E-03,+391.9598162E-03,+4.5527637915E+00
+2.0870000E-03,+391.9598162E-03,+4.5326632895E+00
+2.0872500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0875000E-03,+361.8090625E-03,+4.5326632895E+00
+2.0877500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0880000E-03,+391.9598162E-03,+4.5427135409E+00
+2.0882500E-03,+391.9598159E-03,+4.5326632898E+00
+2.0885000E-03,+391.9598162E-03,+4.5326632895E+00
+2.0887500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0890000E-03,+391.9598162E-03,+4.5427135409E+00
+2.0892500E-03,+391.9598162E-03,+4.5728642937E+00
+2.0895000E-03,+391.9598162E-03,+4.5427135403E+00
+2.0897500E-03,+391.9598162E-03,+4.5527637921E+00
+2.0900000E-03,+351.7588116E-03,+4.5326632895E+00
+2.0902500E-03,+391.9598162E-03,+4.5326632898E+00
+2.0905000E-03,+391.9598162E-03,+4.5326632895E+00
+2.0907500E-03,+371.8593136E-03,+4.5527637914E+00
+2.0910000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0912500E-03,+351.7588119E-03,+231.1557975E-03
+2.0915000E-03,+391.9598162E-03,+190.9547932E-03
